,Id,protoform,DoT,DoS,DoF,symptom
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",1.0,0.31,0.26568668499202597,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.08333333333333333,0.26568668499202597,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",0.0,0.0,0.26568668499202597,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",1.0,0.17,0.10027207942589987,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",1.0,0.16333333333333333,0.10027207942589987,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",0.0,0.02666666666666667,0.10027207942589987,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at low level.",0.0,0.19333333333333333,0.6307079022487407,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at medium level.",0.0,0.4166666666666667,0.6307079022487407,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_LOGenergy_sma-related features at high level.",0.5842450382890098,0.49666666666666665,0.6307079022487407,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.0,0.27666666666666667,0.6228876231619975,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.39666666666666667,0.6228876231619975,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.37333333333333335,0.6228876231619975,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.7538798751520672,0.09666666666666666,0.046984702512683614,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",1.0,0.09666666666666666,0.046984702512683614,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.016666666666666666,0.046984702512683614,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at low level.",0.0,0.22666666666666666,0.32679434099198545,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at medium level.",0.0,0.22,0.32679434099198545,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have pcm_zcr_sma-related features at high level.",0.0,0.12666666666666668,0.32679434099198545,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.0,0.2833333333333333,0.5184185501592421,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.30666666666666664,0.5184185501592421,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.4066666666666667,0.5184185501592421,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at low level.",0.0,0.08666666666666667,0.04696111143030433,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",1.0,0.08666666666666667,0.04696111143030433,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.03333333333333333,0.04696111143030433,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at low level.",1.0,0.43333333333333335,0.4312870050771202,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at medium level.",0.0,0.19666666666666666,0.4312870050771202,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have voiceprob_sma-related features at high level.",0.0,0.10666666666666667,0.4312870050771202,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at low level.",0.0,0.2866666666666667,0.7633886884527147,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at medium level.",0.0,0.5233333333333333,0.7633886884527147,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.49,0.7633886884527147,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at low level.",1.0,0.03333333333333333,0.015799599068458858,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at medium level.",0.0,0.03,0.015799599068458858,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.0,0.015799599068458858,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at low level.",1.0,0.21666666666666667,0.21747837914549317,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at medium level.",0.0,0.056666666666666664,0.21747837914549317,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0_sma-related features at high level.",0.0,0.01,0.21747837914549317,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at low level.",0.0,0.13,0.5789745287964558,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at medium level.",0.0,0.36666666666666664,0.5789745287964558,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have f0env_sma-related features at high level.",1.0,0.55,0.5789745287964558,0
3,3.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at low level.",0.0,0.11333333333333333,0.06169457678810478,0
4,4.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at medium level.",1.0,0.11333333333333333,0.06169457678810478,0
5,5.0,"Among records that contribute around zero to predicting 0 class, most of them have f0env_sma-related features at high level.",0.0,0.016666666666666666,0.06169457678810478,0
6,6.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at low level.",1.0,0.38333333333333336,0.3559975610821061,0
7,7.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at medium level.",0.0,0.13666666666666666,0.3559975610821061,0
8,8.0,"Among records that contribute positively to predicting 0 class, most of them have f0env_sma-related features at high level.",0.0,0.01,0.3559975610821061,0
0,0.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at low level.",0.0,0.7033333333333334,0.9545394463421637,0
1,1.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at medium level.",0.0,0.6933333333333334,0.9545394463421637,0
2,2.0,"Among records that contribute against predicting 0 class, most of them have pcm_fftMag_fband0-250_sma-related features at high level.",0.0,0.9333333333333333,0.9545394463421637,0
